"Dist Administrativo resid";"2019";"2020";"2021";"Total"
"Água Rasa";5,05;5,34;5,13;5,17
"Alto de Pinheiros";3,23;-;15,21;5,80
"Anhanguera";7,43;11,49;8,51;9,08
"Aricanduva";7,27;12,84;11,29;10,43
"Artur Alvim";4,13;13,16;10,13;8,89
"Barra Funda";7,71;2,82;2,75;4,51
"Bela Vista";14,08;9,42;10,40;11,51
"Belém";6,32;11,74;17,70;11,57
"Bom Retiro";5,78;2,12;8,44;5,46
"Brás";19,49;10,80;26,74;18,66
"Brasilândia";18,91;10,23;12,24;13,95
"Butantã";3,91;4,08;6,24;4,72
"Cachoeirinha";12,49;8,25;13,37;11,30
"Cambuci";5,87;10,68;10,08;8,81
"Campo Belo";7,28;12,66;-;6,76
"Campo Grande";14,23;8,31;10,70;11,20
"Campo Limpo";10,75;11,72;7,33;10,00
"Cangaíba";13,02;11,29;9,68;11,39
"Capão Redondo";10,58;10,66;10,12;10,47
"Carrão";10,98;9,59;5,59;8,83
"Casa Verde";16,67;8,28;6,17;10,71
"Cidade Ademar";14,86;10,85;12,18;12,69
"Cidade Dutra";11,96;10,82;9,90;10,95
"Cidade Líder";12,77;10,35;12,17;11,78
"Cidade Tiradentes";11,68;10,78;12,23;11,56
"Consolação";8,15;8,24;13,61;9,75
"Cursino";11,08;2,48;11,15;8,17
"Ermelino Matarazzo";17,59;11,10;7,91;12,35
"Freguesia do Ó";10,56;13,81;9,71;11,41
"Grajaú";12,64;9,96;12,81;11,79
"Guaianases";16,34;11,76;15,33;14,45
"Iguatemi";12,83;10,89;13,36;12,35
"Ipiranga";8,03;10,32;6,91;8,45
"Itaim Bibi";3,92;2,52;1,74;2,77
"Itaim Paulista";12,03;11,31;13,17;12,14
"Itaquera";11,80;11,94;10,17;11,33
"Jabaquara";8,04;5,91;9,74;7,83
"Jaçanã";13,82;10,20;12,31;12,13
"Jaguara";7,02;7,17;6,69;6,95
"Jaguaré";8,64;5,30;10,12;7,98
"Jaraguá";11,97;17,23;13,62;14,22
"Jardim Ângela";13,46;6,41;10,96;10,39
"Jardim Helena";14,92;15,40;10,71;13,80
"Jardim Paulista";1,28;4,17;2,84;2,72
"Jardim São Luís";10,88;8,58;13,35;10,89
"José Bonifácio";10,00;9,60;13,18;10,87
"Lajeado";10,07;14,37;11,79;12,02
"Lapa";5,04;4,13;2,88;4,07
"Liberdade";8,15;14,08;10,34;10,74
"Limão";11,07;9,87;9,13;10,06
"Mandaqui";5,50;13,22;6,77;8,45
"Marsilac";-;9,26;13,70;7,38
"Moema";2,49;7,86;1,36;3,91
"Moóca";9,59;6,57;8,00;8,10
"Morumbi";16,64;5,74;9,62;10,95
"Parelheiros";13,03;11,41;11,80;12,11
"Pari";14,25;14,71;19,39;16,16
"Parque do Carmo";10,41;14,17;13,13;12,52
"Pedreira";11,04;11,56;10,90;11,17
"Penha";11,41;8,01;12,05;10,47
"Perdizes";3,37;7,10;5,43;5,26
"Perus";10,80;14,34;5,38;10,37
"Pinheiros";4,84;5,15;1,88;4,03
"Pirituba";13,47;9,49;11,94;11,69
"Ponte Rasa";11,02;18,73;8,54;12,93
"Raposo Tavares";6,80;13,48;11,54;10,52
"República";6,42;7,13;13,64;8,62
"Rio Pequeno";10,12;6,44;6,26;7,76
"Sacomã";9,63;9,28;12,05;10,27
"Santa Cecília";9,63;11,45;7,18;9,51
"Santana";9,80;10,49;14,04;11,30
"Santo Amaro";11,66;3,79;2,65;6,24
"São Domingos";8,39;8,53;7,68;8,21
"São Lucas";8,27;5,99;12,49;8,80
"São Mateus";9,21;14,85;10,29;11,39
"São Miguel";20,26;12,26;10,47;14,59
"São Rafael";14,22;12,50;12,63;13,15
"Sapopemba";12,20;14,46;9,89;12,22
"Saúde";6,59;4,47;7,87;6,27
"Sé";5,01;20,13;14,65;12,37
"Socorro";19,11;5,83;10,20;11,57
"Tatuapé";5,34;11,21;4,09;6,87
"Tremembé";16,28;8,99;9,68;11,80
"Tucuruvi";10,47;2,25;8,51;7,13
"Vila Andrade";5,27;10,21;5,94;7,09
"Vila Curuçá";9,47;10,93;8,94;9,79
"Vila Formosa";12,93;12,59;4,93;10,33
"Vila Guilherme";5,03;14,81;7,45;8,87
"Vila Jacuí";14,95;10,74;11,53;12,49
"Vila Leopoldina";3,79;14,15;-;5,83
"Vila Maria";13,95;13,10;7,45;11,63
"Vila Mariana";5,73;6,70;3,96;5,49
"Vila Matilde";12,33;7,68;9,16;9,88
"Vila Medeiros";11,51;12,11;5,95;10,02
"Vila Prudente";9,58;8,70;13,57;10,55
"Vila Sônia";8,78;3,72;12,21;8,14
"Endereço não localizado";...;...;...;...
"Ignorado";6,25;14,71;14,08;11,86